epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,6.83921,2.19878,3.99833,2.33582,0.00333,1,0.00642,0.00281,1.56567,3.81944,1.92061,0,0,0
2,11.5104,1.74058,4.31123,1.83598,0.00333,1,0.00622,0.0035,1.60493,3.83039,1.92776,1.9802e-05,1.9802e-05,1.9802e-05
3,16.13,1.69874,4.08387,2.01919,0.00333,1,0.00599,0.00344,1.56834,3.73684,1.93808,3.9208e-05,3.9208e-05,3.9208e-05
4,20.8172,1.87183,3.94551,2.03769,0.00333,1,0.00564,0.00335,1.6197,3.71245,1.92686,5.8218e-05,5.8218e-05,5.8218e-05
5,25.7269,2.14974,4.13808,2.06016,0.00333,1,0.00547,0.00328,1.5497,3.68239,1.87063,7.6832e-05,7.6832e-05,7.6832e-05
6,30.166,1.32511,3.58304,1.51652,0.00333,1,0.00564,0.00338,1.47618,3.68118,1.78019,9.505e-05,9.505e-05,9.505e-05
7,34.4215,1.10021,3.7989,1.40906,0.00333,1,0.0067,0.00429,1.27727,3.62257,1.61102,0.000112872,0.000112872,0.000112872
8,39.178,0.99858,3.56206,1.28735,0.00333,1,0.00764,0.005,0.99323,3.66208,1.45086,0.000130298,0.000130298,0.000130298
9,44.646,0.9205,3.28401,1.27326,0.00333,1,0.16583,0.07096,0.91341,3.2096,1.13367,0.000147328,0.000147328,0.000147328
10,49.7056,0.92224,2.93737,1.13133,0.00333,1,0.33167,0.24046,0.8063,2.89889,0.97011,0.000163962,0.000163962,0.000163962
11,54.4737,0.90552,2.93112,1.19194,0.00333,1,0.745,0.596,0.79451,2.91828,0.94401,0.0001802,0.0001802,0.0001802
12,58.782,0.76502,2.88146,0.99814,0.00333,1,0.995,0.796,0.8749,2.93291,0.98199,0.000196042,0.000196042,0.000196042
13,62.9126,0.79828,2.59319,1.04796,0.00333,1,0.995,0.64717,0.73658,3.09015,1.16614,0.000211488,0.000211488,0.000211488
14,67.2106,0.71203,2.55723,1.0025,0.00333,1,0.995,0.4001,0.98973,3.23256,1.28579,0.000226538,0.000226538,0.000226538
15,71.8827,0.57726,2.30811,0.87722,0.00333,1,0.995,0.35136,1.18273,3.41265,1.41518,0.000241192,0.000241192,0.000241192
16,76.1788,0.89568,2.30813,1.12109,0.00333,1,0.995,0.35058,1.27854,3.45436,1.46137,0.00025545,0.00025545,0.00025545
17,80.233,0.76411,2.27754,1.0067,0.00333,1,0.995,0.35035,1.39098,3.51376,1.59747,0.000269312,0.000269312,0.000269312
18,84.2716,0.83646,1.85764,0.98634,0.00333,1,0.995,0.35035,1.39098,3.51376,1.59747,0.000282778,0.000282778,0.000282778
19,88.2404,0.88072,2.11098,1.07914,0.00333,1,0.995,0.597,1.37722,3.22955,1.2151,0.000295848,0.000295848,0.000295848
20,92.5677,1.00245,2.3762,1.16642,0.00333,1,0.995,0.597,1.37722,3.22955,1.2151,0.000308522,0.000308522,0.000308522
21,97.6747,0.74659,1.83891,0.94456,0.00333,1,0.995,0.64658,1.24124,2.98003,1.1209,0.0003208,0.0003208,0.0003208
22,101.139,0.73643,1.96977,1.1489,0.00333,1,0.995,0.64658,1.24124,2.98003,1.1209,0.000332682,0.000332682,0.000332682
23,104.904,0.78035,1.84036,1.00953,0.00333,1,0.82833,0.3987,1.49239,3.2954,1.47665,0.000344168,0.000344168,0.000344168
24,108.274,0.79425,2.02361,1.11855,0.00333,1,0.82833,0.3987,1.49239,3.2954,1.47665,0.000355258,0.000355258,0.000355258
25,111.8,0.75192,1.917,1.03234,0.00333,1,0.52625,0.36008,1.56154,3.49151,1.6738,0.000365952,0.000365952,0.000365952
26,115.406,0.63884,1.6007,0.9032,0.00333,1,0.52625,0.36008,1.56154,3.49151,1.6738,0.00037625,0.00037625,0.00037625
27,118.941,0.61456,1.51575,0.91263,0.00333,1,0.49998,0.29986,1.56968,3.64249,1.7324,0.000386152,0.000386152,0.000386152
28,122.362,0.63949,1.51135,0.9673,0.00333,1,0.49998,0.29986,1.56968,3.64249,1.7324,0.000395658,0.000395658,0.000395658
29,125.824,0.60303,1.39482,1.00054,0.00333,1,0.49959,0.34877,1.55766,3.67921,1.79621,0.000404768,0.000404768,0.000404768
30,129.174,0.59982,1.32663,0.89983,0.00333,1,0.49959,0.34877,1.55766,3.67921,1.79621,0.000413482,0.000413482,0.000413482
31,132.561,0.68313,1.5552,0.94856,0.00333,1,0.62,0.4138,1.35857,3.51401,1.59004,0.0004218,0.0004218,0.0004218
32,135.934,0.70756,1.41042,0.98453,0.00333,1,0.62,0.4138,1.35857,3.51401,1.59004,0.000429722,0.000429722,0.000429722
33,139.592,0.80169,1.57235,1.10235,0.00333,1,0.995,0.54735,1.71184,3.25096,1.62158,0.000437248,0.000437248,0.000437248
34,143.042,0.61504,1.25991,0.86369,0.00333,1,0.995,0.54735,1.71184,3.25096,1.62158,0.000444378,0.000444378,0.000444378
35,146.678,0.71642,1.53027,1.01327,0.00333,1,0.82833,0.16718,1.91207,3.74595,2.05207,0.000451112,0.000451112,0.000451112
36,150.375,0.80585,1.54444,1.05143,0.00333,1,0.82833,0.16718,1.91207,3.74595,2.05207,0.00045745,0.00045745,0.00045745
37,153.905,0.53301,1.46793,0.89986,0.00333,1,0.4475,0.09913,1.90842,4.04214,2.06621,0.000463392,0.000463392,0.000463392
38,157.726,0.51518,1.35189,0.9085,0.00333,1,0.4475,0.09913,1.90842,4.04214,2.06621,0.000468938,0.000468938,0.000468938
39,161.446,0.6435,1.64523,0.99707,0.00333,1,0.29512,0.08157,2.04297,3.92269,2.01081,0.000474088,0.000474088,0.000474088
40,164.916,0.56203,1.12135,0.89283,0.00333,1,0.29512,0.08157,2.04297,3.92269,2.01081,0.000478842,0.000478842,0.000478842
41,168.642,0.74321,1.2835,1.08915,0.00333,1,0.07223,0.02312,2.09183,3.78543,1.92568,0.0004832,0.0004832,0.0004832
42,172.033,0.50079,1.55404,0.93988,0.00333,1,0.07223,0.02312,2.09183,3.78543,1.92568,0.000487162,0.000487162,0.000487162
43,175.866,0.71987,1.45819,1.08067,0.00333,1,0.02759,0.01021,1.96224,3.75114,1.91671,0.000490728,0.000490728,0.000490728
44,179.509,0.6924,1.52986,1.05525,0.00333,1,0.02759,0.01021,1.96224,3.75114,1.91671,0.000493898,0.000493898,0.000493898
45,182.943,0.64758,1.17112,0.97963,0.00333,1,0.03008,0.00907,2.05943,3.80549,2.02851,0.000496672,0.000496672,0.000496672
46,186.304,0.4713,1.26948,0.94105,0.00333,1,0.03008,0.00907,2.05943,3.80549,2.02851,0.00049905,0.00049905,0.00049905
47,189.956,0.67389,1.26238,1.02183,0.00333,1,0.52833,0.16116,1.82561,3.61636,2.00118,0.000501032,0.000501032,0.000501032
48,193.55,0.61673,1.15951,0.93449,0.00333,1,0.52833,0.16116,1.82561,3.61636,2.00118,0.000502618,0.000502618,0.000502618
49,197.064,0.90867,2.1552,1.09947,0.00333,1,0.82833,0.18641,1.67249,3.74764,2.00042,0.000503808,0.000503808,0.000503808
50,200.454,0.80856,1.41328,1.02357,0.00333,1,0.82833,0.18641,1.67249,3.74764,2.00042,0.000504602,0.000504602,0.000504602
51,203.877,0.68826,1.39267,1.0103,0.00333,1,0.53346,0.19753,1.71424,3.62617,2.07679,0.000505,0.000505,0.000505
52,207.733,0.72112,1.79283,0.94235,0.00333,1,0.53346,0.19753,1.71424,3.62617,2.07679,0.000505002,0.000505002,0.000505002
53,211.143,0.68987,1.40636,0.97498,0.00333,1,0.53346,0.19753,1.71424,3.62617,2.07679,0.000504608,0.000504608,0.000504608
54,214.795,0.6606,1.30308,0.98529,0.00333,1,0.995,0.24176,1.8636,3.72114,2.12251,0.000503818,0.000503818,0.000503818
55,218.38,0.66003,1.25136,1.04956,0.00333,1,0.995,0.24176,1.8636,3.72114,2.12251,0.000502632,0.000502632,0.000502632
56,222.07,0.64062,1.49403,0.94504,0.00333,1,0.995,0.24176,1.8636,3.72114,2.12251,0.00050105,0.00050105,0.00050105
57,225.795,0.64585,1.42496,0.96149,0.00333,1,0.995,0.24996,1.82512,3.62588,1.95618,0.000499072,0.000499072,0.000499072
58,229.527,0.72355,1.49721,0.92629,0.00333,1,0.995,0.24996,1.82512,3.62588,1.95618,0.000496698,0.000496698,0.000496698
59,233.072,0.62087,1.30609,0.96444,0.00333,1,0.995,0.24996,1.82512,3.62588,1.95618,0.000493928,0.000493928,0.000493928
60,236.714,0.64761,1.54046,1.0328,0.00333,1,0.995,0.38348,1.584,3.47199,1.66502,0.000490762,0.000490762,0.000490762
